"window_id","test_type","df1","df2","test_value","p_comp","reported_p","computed_p","error","decision_error","raw"
"ho0c0f8fff","t",NA,78,5.23,"<",0.001,1.38508073219541e-06,FALSE,FALSE,"t(78) = 5.23, p < .001"
"hode469551","t",NA,158,0.69,"=",0.489,0.491206434491072,FALSE,FALSE,"t(158) =
.69, p = .489"
"hoe58cbc6e","t",NA,67,-3.21,"<",0.01,0.00203883843796065,FALSE,FALSE,"t(67) = −3.21, p < .01"
"ho4ef2ec0c","r",NA,827,0.641,"<",0.001,4.11531252623693e-97,FALSE,FALSE,"r(827) = .641, p < .001"
"ho7ff5be19","F",1,73,2.77,"=",0.101,0.100333197726547,FALSE,FALSE,"F(1, 73) = 2.77, p = 0.101"
"ho7ff5be19","F",1,69,0.105,"=",0.75,0.746890206506662,FALSE,FALSE,"F(1, 69) =
0.105, p = 0.75"
"ho7ff5be19","F",1,73,1,"=",0.32,0.320613797901318,FALSE,FALSE,"F(1, 73) =
1.00, p = 0.32"
"ho9f489813","t",NA,214,-5.68,"<",0.001,4.36318675434925e-08,FALSE,FALSE,"t(214) = −5.68, p < .001"
"ho9f489813","t",NA,214,5.26,"<",0.001,3.48645148438116e-07,FALSE,FALSE,"t(214) = 5.26,
p < .001"
"ho9f489813","t",NA,214,5.48,"<",0.001,1.19022223359411e-07,FALSE,FALSE,"t(214) = 5.48, p < .001"
"ho9f489813","t",NA,214,5.4,"<",0.001,1.76567642784849e-07,FALSE,FALSE,"t(214) = 5.40, p < .001"
"hoc405561a","Z",NA,NA,2.15,"=",0.03,0.031555214782181,FALSE,FALSE,"z = 2.15, p = .03"
