"window_id","test_type","df1","df2","test_value","p_comp","reported_p","computed_p","error","decision_error","raw"
"ho06f5272b","t",NA,52,-2.77,"=",0.008,0.00775460740788936,FALSE,FALSE,"t(52) = -2.77,
p = .008"
"hod4edd48e","F",1,381,4.45,"=",0.05,0.0355530165351612,FALSE,FALSE,"F(1,
381) = 4.45, p < .05"
"hod4edd48e","F",1,582,19.29,"=",0.001,1.33420401506964e-05,FALSE,FALSE,"F(1, 582) = 19.29, p <
.001"
"hod4edd48e","F",1,495,14.99,"=",0.001,0.000122575861430186,FALSE,FALSE,"F(1, 495) = 14.99, p < .001"
"ho80e2fb29","F",3,333.21,9.78,"=",0.001,3.35968929463449e-06,FALSE,FALSE,"F(3, 333.21) = 9.78,
p < .001"
"ho80e2fb29","F",1,115.97,4.1,"=",0.045,0.0451800823708948,FALSE,FALSE,"F(1, 115.97) = 4.10, p = .045"
"ho3524494c","t",NA,4102,32.1,"=",0.001,6.74012936707737e-202,FALSE,FALSE,"t(4102) = 32.10, p <
.001"
"ho383d3bd4","t",NA,178,0.54,"=",NA,0.589871976842148,FALSE,FALSE,"t(178) = 0.54, ns."
"ho7e196f50","F",1,415,2.78,"=",NA,0.0962025659307726,FALSE,FALSE,"F(1, 415) =
2.78, ns"
"ho7e196f50","F",1,250,10.08,"=",0.001,0.00168689961658564,TRUE,FALSE,"F(1, 250) =
10.08, p < .001"
"ho7e196f50","F",1,540,20,"=",0.001,9.44549119966497e-06,FALSE,FALSE,"F(1, 540) = 20, p < .001"
"hoc5f72ed8","Chi2",8,NA,10.9,"=",0.21,0.207429976280561,FALSE,FALSE,"v2(8) = 10.9, p = .21"
"hob9efe07d","Chi2",1,NA,9.26,"=",0.005,0.00234213021638092,FALSE,FALSE,"χ2(1) = 9.26, p < .005"
"hod33c0073","F",1,80,205.634,"=",0,8.12010406780684e-24,TRUE,FALSE,"F (1, 80) = 205.634, p = .000"
"ho3c6eb30f","F",1,67,8.93,"=",0.01,0.0039182502381671,FALSE,FALSE,"F(1, 67) = 8.93, p < .01"
"hoc3110f5a","F",1,18,14.8,"=",0.01,0.00118078032844707,FALSE,FALSE,"F(1, 18) = 14.8,
p < .01"
"ho003ac25f","F",3,63,4.41,"=",0.007,0.00704096371811078,FALSE,FALSE,"F(3, 63) = 4.41, p = .007"
"ho6986784e","r",NA,83,-0.45,"=",0.001,1.55405737113645e-05,FALSE,FALSE,"r(83) = −.45, p < .001"
"hoaa990887","t",NA,181,-0.07,"=",0.94,0.944270937532482,FALSE,FALSE,"t(181) = .07, p = .94"
"ho5ebbd443","F",1,424,4.21,"=",0.04,0.0407999835185795,FALSE,FALSE,"F(1, 424) = 4.21, p = .04"
"ho5ebbd443","F",1,425,13.63,"=",0,0.000251588140363015,TRUE,FALSE,"F(1, 425) = 13.63, p = .00"
"ho17e51cb8","F",1,233,0.4,"=",0.1,0.527709402142753,FALSE,FALSE,"F(1, 233) = .4, p > .1"
"ho17e51cb8","F",1,233,0.1,"=",0.1,0.752112740025674,FALSE,FALSE,"F(1, 233) = .1, p > .1"
"ho80ba2c26","F",1,183,2.72,"=",0.1,0.100813541363775,TRUE,FALSE,"F(1, 183) =
2.72, p < .10"
"ho2de05f77","r",NA,572,0.77,"=",0.001,1.02461053944841e-113,FALSE,FALSE,"r(572) = .77, p < .001"
"ho9ef39c43","t",NA,95,7.09,"=",0.001,2.36083854020282e-10,FALSE,FALSE,"t(95) = 7.09, p < 0.001"
"ho9ef39c43","t",NA,95,5.05,"=",0.001,2.12989023825611e-06,FALSE,FALSE,"t(95) = 5.05, p < 0.001"
"ho2b0894cd","Chi2",69,NA,990.32,"=",0.001,3.59954196330448e-163,FALSE,FALSE,"x2(69) = 990.32, p < .001"
"hoc0283b8b","F",1,28,143.74,"=",0.001,1.52182393470111e-12,FALSE,FALSE,"F(1, 28) = 143.74,
p < .001"
"hoce02deea","F",1,24,7.57,"=",0.05,0.0111128061344092,FALSE,FALSE,"F(1, 24) =
7.57, p < .05"
"hoce02deea","F",1,24,15.45,"=",0.001,0.00062771906940123,FALSE,FALSE,"F(1, 24) = 15.45, p < .001"
"ho872681d6","t",NA,48,0.57,"=",0.57,0.571336121186182,FALSE,FALSE,"t(48) = 0.57, p = .57"
"hoc3b150e3","t",NA,2,2.64,"=",0.118,0.118510002052014,FALSE,FALSE,"t(2) = 2.64, p = .118"
"hoc3b150e3","t",NA,4,1.97,"=",0.06,0.120169516401709,TRUE,FALSE,"t(4) = 1.97, p = .060"
"ho5e943ec8","F",2,20,8.09,"=",0.005,0.00266449145255312,TRUE,FALSE,"F(2, 20) = 8.09,
p = .005"
"ho5e943ec8","t",NA,21,3.51,"=",0.005,0.00208263506423393,TRUE,FALSE,"t(21) = 3.51, p = .005"
"ho4f4cd3eb","t",NA,52,12.5,"=",0.001,2.71939059872345e-17,FALSE,FALSE,"t(52) = 12.5, p < .001"
"hod08a28e0","F",2,58,57.5,"=",0.001,1.72216525332476e-14,FALSE,FALSE,"F(2, 58)=57.5, p < .001"
"ho14b54a72","t",NA,40,2.27,"=",0.05,0.0286685134678852,FALSE,FALSE,"t(40) = 2.27, p < .05"
"ho14b54a72","t",NA,37,1.32,"=",0.2,0.194943709805799,FALSE,FALSE,"t(37) =
1.32, p = .20"
"hobcd83437","F",3,442,5.2,"=",0.002,0.00154195013947676,FALSE,FALSE,"F(3, 442) = 5.20, p = .002"
"hobcd83437","F",6,439,9.1,"=",0.001,2.148545608673e-09,FALSE,FALSE,"F(6, 439)
=9.10, p <.001"
"hoa451b1fc","F",4,2261,2.031,"=",0.088,0.087524609061693,FALSE,FALSE,"F(4, 2261) = 2.031, p = .088"
"ho883e7dfa","F",1,79,22.32,"=",0.001,9.86906697899783e-06,FALSE,FALSE,"F(1, 79) = 22.32, p < .001"
"ho3206e4fa","F",1,23,3.95,"=",0.06,0.0589057363170862,FALSE,FALSE,"F(1, 23) = 3.95, p = .06"
"hob4dece6e","t",NA,133,5.48,"=",0.001,2.05862145819125e-07,FALSE,FALSE,"t(133) =
5.48, p < .001"
"ho75a139c2","t",NA,187,4.33,"=",0.001,2.42801734948823e-05,FALSE,FALSE,"t(187) =
4.33, p < .001"
"hoaf633370","Chi2",1,NA,2.24,"=",0.13,0.134480980143816,FALSE,FALSE,"2(1) = 2.24, p = .13"
"ho3baaca93","F",8,109,4.29,"=",0.001,0.000163265522530785,FALSE,FALSE,"F(8, 109) = 4.29,
p < .001"
"ho5a2cdd64","t",NA,40,0.32,"=",0.75,0.750633897096812,FALSE,FALSE,"t(40)=.32, p=.75"
"ho2617efe5","F",2,212,5.59,"=",0.05,0.0043066769347553,FALSE,FALSE,"F(2, 212)
= 5.59, p < .05"
"ho61d5e27d","t",NA,34,3.57,"=",0.001,0.0010889020113398,FALSE,FALSE,"t(34) = 
3.57, p = .001"
"ho848c6162","F",1,214,52.42,"=",0.001,7.94380548729522e-12,FALSE,FALSE,"F(1, 214) = 52.42, p < .001"
"ho848c6162","F",1,214,50.54,"=",0.001,1.71877025795706e-11,FALSE,FALSE,"F(1, 214) = 50.54, p < .001"
"ho9703f8c3","t",NA,52,12.5,"=",0.001,2.71939059872345e-17,FALSE,FALSE,"t(52) = 12.5, p < .001"
"hoe97ac94c","t",NA,83,3.03,"=",0.003,0.00326006564779519,FALSE,FALSE,"t(83) = 3.03, p = .003"
"hoe97ac94c","t",NA,83,1.04,"=",0.3,0.301359999067999,FALSE,FALSE,"t(83) = 1.04, p = .30"
"ho0075da11","F",1,925,480.28,"=",1e-04,4.47934451650503e-86,FALSE,FALSE,"F(1,925)=480.28, p<.0001"
"hodbae5c33","F",1,57,48.82,"=",0.001,3.34284637695545e-09,FALSE,FALSE,"F(1, 57)
= 48.82, p < .001"
"ho58c15583","F",1,308,28.262,"=",5e-04,2.03872860014023e-07,TRUE,FALSE,"F(1, 308) = 28.262, p = .0005"
"ho58c15583","F",4,308,94.583,"=",5e-04,2.21045511966641e-52,TRUE,FALSE,"F(4, 308) = 94.583, p = .0005"
"hoa9b3deec","r",NA,72,-0.03,"=",0.83,0.799701613520605,FALSE,FALSE,"r(72) = 
−.03, p = .83"
"hoa9b3deec","F",1,72,9.3,"=",0.01,0.0032055105941249,FALSE,FALSE,"F(1, 72) = 9.3, p < .01"
"ho17b930ad","t",NA,58,7.7,"=",0.008,1.9521582686965e-10,TRUE,FALSE,"t(58) = 7.7, p = .008"
"hod4071e3e","F",1,80.64,115.54,"=",0.001,3.09715115685918e-17,FALSE,FALSE,"F(1, 80.64) = 115.54, p < .001"
"hod4071e3e","F",1,92.98,1.16,"=",0.28,0.284252043722391,FALSE,FALSE,"F(1, 92.98) = 1.16, p = .28"
"hod4071e3e","F",1,80.64,5.15,"=",0.026,0.0259171928199392,FALSE,FALSE,"F(1, 80.64) = 5.15, p = .026"
"hoc74945c5","F",16,42,557.8,"=",0.001,1.38864744448395e-43,FALSE,FALSE,"F(16, 42) = 557.80, p < 0.001"
"ho7cc5d3b6","t",NA,19,2.61,"=",0.05,0.0172137521828239,FALSE,FALSE,"t(19) = 2.61,
p < .05"
"hobe44692b","F",5,271,0.7,"=",0.63,0.623875193803059,FALSE,FALSE,"F(5, 271) = 0.70, p = .63"
"hobe44692b","F",3,268,11.34,"=",0.001,5.01773370200789e-07,FALSE,FALSE,"F(3, 268) = 11.34, p < .001"
"hof52e0353","F",1,188,3.81,"=",0.0526,0.0524327898519429,FALSE,FALSE,"F(1,188) = 3.81, p = .0526"
"hof52e0353","F",1,188,8.04,"=",0.0051,0.0050764715480693,FALSE,FALSE,"F(1,188) =
8.04, p = .0051"
"ho94914a7a","F",4,242,4.11,"=",0.001,0.00305848542992672,TRUE,FALSE,"F(4, 242) = 4.11, p < .001"
"ho296868ed","r",NA,139,0.76,"=",0.01,8.5985500933125e-28,FALSE,FALSE,"r(139) = .76, p <
.01"
"ho0a10d2ce","t",NA,74,0.48,"=",0.63,0.632643194375788,FALSE,FALSE,"t(74) = 0.48, p = .63"
"ho38fe270b","F",1,59,7.31,"=",0.01,0.00894483058949123,FALSE,FALSE,"F(1,59) =
7.31, p < .01"
"ho6d5cbcb8","t",NA,65,11.19,"=",0.001,8.422679685339e-17,FALSE,FALSE,"t(65) = 11.19, p < .001"
"ho0c0f8fff","t",NA,78,2.34,"=",0.02,0.0218419540415859,FALSE,FALSE,"t(78) = 2.34, p = .02"
"ho0c0f8fff","t",NA,78,5.23,"=",0.001,1.38508073219541e-06,FALSE,FALSE,"t(78) = 5.23, p < .001"
"hoe4bfbf1e","t",NA,228,8.75,"=",0.01,4.81208121850726e-16,FALSE,FALSE,"t(228) = 8.75, p <
.01"
"hode469551","t",NA,158,0.69,"=",0.489,0.491206434491072,FALSE,FALSE,"t(158) =
.69, p = .489"
"hoe58cbc6e","t",NA,67,-3.21,"=",0.01,0.00203883843796065,FALSE,FALSE,"t(67) = −3.21, p < .01"
"ho4ef2ec0c","r",NA,827,0.641,"=",0.001,4.11531252623693e-97,FALSE,FALSE,"r(827) = .641, p < .001"
"ho0a399a4e","F",1,209,5.88,"=",0.016,0.016163668396204,FALSE,FALSE,"F(1, 209) = 5.88, p = .016"
"ho0a399a4e","F",1,209,0.1,"=",0.76,0.752145228570898,FALSE,FALSE,"F(1, 209) = .10, p = .76"
"hob8628e46","Chi2",1,NA,16.3,"=",0.001,5.40639514973283e-05,FALSE,FALSE,"c2(1) = 16.30, p < .001"
